都道府県名,市区町村名,開設局数,更新日
青森県,青森市,51,2021-06-06
青森県,弘前市,24,2021-06-06
青森県,八戸市,48,2021-06-06
青森県,五所川原市,14,2021-06-06
青森県,むつ市,10,2021-06-06
青森県,つがる市,1,2021-06-06
青森県,東津軽郡平内町,2,2021-06-06
青森県,北津軽郡板柳町,3,2021-06-06
青森県,北津軽郡鶴田町,5,2021-06-06
青森県,上北郡東北町,1,2021-06-06
青森県,上北郡おいらせ町,8,2021-06-06
青森県,三戸郡三戸町,1,2021-06-06
青森県,三戸郡五戸町,2,2021-06-06
青森県,三戸郡南部町,1,2021-06-06
青森県,三戸郡階上町,1,2021-06-06
岩手県,盛岡市,48,2021-06-06
岩手県,大船渡市,13,2021-06-06
岩手県,花巻市,6,2021-06-06
岩手県,一関市,3,2021-06-06
岩手県,陸前高田市,9,2021-06-06
岩手県,釜石市,3,2021-06-06
岩手県,奥州市,5,2021-06-06
岩手県,滝沢市,2,2021-06-06
岩手県,岩手郡岩手町,3,2021-06-06
岩手県,紫波郡紫波町,8,2021-06-06
岩手県,紫波郡矢巾町,5,2021-06-06
岩手県,西磐井郡平泉町,1,2021-06-06
宮城県,仙台市青葉区,41,2021-06-06
宮城県,仙台市宮城野区,35,2021-06-06
宮城県,仙台市若林区,27,2021-06-06
宮城県,仙台市太白区,30,2021-06-06
宮城県,仙台市泉区,41,2021-06-06
宮城県,石巻市,34,2021-06-06
宮城県,塩竈市,10,2021-06-06
宮城県,白石市,7,2021-06-06
宮城県,名取市,26,2021-06-06
宮城県,角田市,1,2021-06-06
宮城県,多賀城市,11,2021-06-06
宮城県,岩沼市,11,2021-06-06
宮城県,登米市,12,2021-06-06
宮城県,栗原市,9,2021-06-06
宮城県,東松島市,3,2021-06-06
宮城県,大崎市,14,2021-06-06
宮城県,富谷市,1,2021-06-06
宮城県,柴田郡大河原町,3,2021-06-06
宮城県,柴田郡村田町,4,2021-06-06
宮城県,柴田郡柴田町,3,2021-06-06
宮城県,宮城郡松島町,3,2021-06-06
宮城県,宮城郡利府町,11,2021-06-06
宮城県,黒川郡大和町,3,2021-06-06
宮城県,黒川郡大郷町,6,2021-06-06
宮城県,黒川郡大衡村,4,2021-06-06
宮城県,遠田郡美里町,3,2021-06-06
宮城県,牡鹿郡女川町,5,2021-06-06
秋田県,秋田市,69,2021-06-06
秋田県,能代市,13,2021-06-06
秋田県,横手市,20,2021-06-06
秋田県,大館市,18,2021-06-06
秋田県,男鹿市,9,2021-06-06
秋田県,鹿角市,9,2021-06-06
秋田県,由利本荘市,3,2021-06-06
秋田県,潟上市,10,2021-06-06
秋田県,大仙市,15,2021-06-06
秋田県,北秋田市,12,2021-06-06
秋田県,にかほ市,5,2021-06-06
秋田県,仙北市,4,2021-06-06
秋田県,鹿角郡小坂町,3,2021-06-06
秋田県,山本郡三種町,5,2021-06-06
秋田県,山本郡八峰町,8,2021-06-06
秋田県,仙北郡美郷町,3,2021-06-06
山形県,山形市,58,2021-06-06
山形県,米沢市,6,2021-06-06
山形県,鶴岡市,5,2021-06-06
山形県,上山市,1,2021-06-06
山形県,長井市,5,2021-06-06
山形県,天童市,7,2021-06-06
山形県,尾花沢市,1,2021-06-06
山形県,南陽市,4,2021-06-06
山形県,西置賜郡白鷹町,4,2021-06-06
山形県,西置賜郡飯豊町,2,2021-06-06
山形県,東田川郡三川町,5,2021-06-06
福島県,福島市,63,2021-06-06
福島県,会津若松市,15,2021-06-06
福島県,郡山市,70,2021-06-06
福島県,いわき市,73,2021-06-06
福島県,須賀川市,3,2021-06-06
福島県,喜多方市,4,2021-06-06
福島県,相馬市,7,2021-06-06
福島県,二本松市,9,2021-06-06
福島県,田村市,4,2021-06-06
福島県,南相馬市,1,2021-06-06
福島県,伊達市,1,2021-06-06
福島県,岩瀬郡鏡石町,1,2021-06-06
福島県,河沼郡会津坂下町,4,2021-06-06
福島県,東白川郡棚倉町,6,2021-06-06
福島県,石川郡石川町,1,2021-06-06
福島県,田村郡三春町,1,2021-06-06
福島県,田村郡小野町,3,2021-06-06
